"1" "170"
"2" "4"
"3" "4"
"4" "2"
"5" "3"
"6" "1"
"7" "1"
"8" "4"
"9" "2"
"10" "1"
"11" "1"
"12" "4"
"13" "2"
"14" "2"
"15" "1"
"16" "1"
"17" "3"
"18" "3"
"19" "1"
"20" "1"
"21" "4"
"22" "3"
"23" "3"
"24" "2"
"25" "1"
"26" "2"
"27" "1"
"28" "1"
"29" "2"
"30" "1"
"31" "5"
"1" "738"
"2" "4"
"3" "4"
"4" "2"
"5" "3"
"6" "1"
"7" "1"
"8" "4"
"9" "2"
"10" "1"
"11" "1"
"12" "4"
"13" "2"
"14" "2"
"15" "1"
"16" "1"
"17" "3"
"18" "3"
"19" "1"
"20" "1"
"21" "4"
"22" "3"
"23" "3"
"24" "2"
"25" "1"
"26" "2"
"27" "1"
"28" "1"
"29" "2"
"30" "1"
"31" "5"
"1" "840"
"2" "4"
"3" "4"
"4" "2"
"5" "3"
"6" "1"
"7" "1"
"8" "4"
"9" "2"
"10" "1"
"11" "1"
"12" "4"
"13" "2"
"14" "2"
"15" "1"
"16" "1"
"17" "3"
"18" "3"
"19" "1"
"20" "1"
"21" "4"
"22" "3"
"23" "3"
"24" "2"
"25" "1"
"26" "2"
"27" "1"
"28" "1"
"29" "2"
"30" "1"
"31" "5"
"1" "967"
"2" "4"
"3" "4"
"4" "2"
"5" "3"
"6" "1"
"7" "1"
"8" "4"
"9" "2"
"10" "1"
"11" "1"
"12" "4"
"13" "2"
"14" "2"
"15" "1"
"16" "1"
"17" "3"
"18" "3"
"19" "1"
"20" "1"
"21" "4"
"22" "3"
"23" "3"
"24" "2"
"25" "1"
"26" "2"
"27" "1"
"28" "1"
"29" "2"
"30" "1"
"31" "5"

